"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"1","경기도 안산시 단원구 시화벤처로 695","옥상",415.36,2019.21,4.86134919106317
"2","경기도 안산시 단원구 시화벤처로 695","옥상",311.52,1571.72,5.04532614278377
"3","경기도 안산시 단원구 정왕천동로70번길 18","옥상",170.625,783.03,4.58918681318681
"4","경기도 안산시 단원구 엠티브이12로21번길 30","옥상",270,1779.49,6.5907037037037
"5","경기도 안산시 단원구 엠티브이12로21번길 26","옥상",270,1798.86,6.66244444444444
"6","경기도 안산시 단원구 시화로 125","옥상",199.2,977,4.90461847389558
"7","경기도 안산시 상록구 안산벌말길 113-4","옥상",157.5,793.6,5.03873015873016
"8","경기도 안산시 단원구 범지기로 147","옥상",299.7,1570,5.23857190523857
"9","경기도 안산시 단원구 해안로 48","옥상",229.5,2233,9.72984749455338
"10","경기도 안산시 단원구 시화호수로 539","옥상",238,1415,5.9453781512605
"11","경기도 안산시 단원구 순환로 416","옥상",236.52,1926.22,8.14400473532894
"12","경기도 안산시 단원구 만해로 166","옥상",299.2,2415,8.07152406417112
"13","경기도 안산시 단원구 예술대학로5길 46","옥상",149.85,217.916,1.45422756089423
"14","경기도 안산시 상록구 버대길 170","옥상",128.52,710.43,5.52777777777778
"15","경기도 안산시 상록구 안산벌말길 129","옥상",159.84,795.96,4.97972972972973
"16","경기도 안산시 단원구 신원로 398","옥상",180.54,873.03,4.83565968760386
"17","경기도 안산시 단원구 원포공원로 18","옥상",149.85,1163.76,7.76616616616617
"18","경기도 시흥시 공단1대로 131번길36(정왕동)","옥상",199.92,2400,12.0048019207683
"19","경기도 시흥시 공단1대로 391(정왕동)","옥상",154.44,433,2.8036778036778
"20","경기도 시흥시 엠티브이북로137번길 22 (정왕동)","옥상",492.75,2700,5.47945205479452
"21","경기도 시흥시 엠티브이25로58번길5","옥상",189,2500,13.2275132275132
"22","경기도 시흥시 경기과기대로 187, 건물위 가,나동","옥상",148.83,663.4,4.4574346569912
"23","경기도 시흥시 마유로42번길 112, 건물위","옥상",166.8,721.927,4.32809952038369
"24","경기도 시흥시 옥구천서로31번길 12 건물위 가,라동","옥상",262.68,2466.1,9.38822902390742
"25","경기도 시흥시 엠티브이28로 26, 건물위 A동","옥상",499.38,2382,4.76991469422083
"26","경기도 시흥시 엠티브이28로 26, 건물위 A,B동","옥상",499.38,2396,4.79794945732709
"27","경기도 시흥시 공단2대로76번길 10, A동 건물위","옥상",248,1364.3,5.50120967741935
"28","경기도 시흥시 희망공원로 69, C동 건물위","옥상",176.12,461.296,2.61921417215535
"29","경기도 시흥시 공단3대로 311, 가동 건물위","옥상",374.4,1709,4.56463675213675
"30","경기도 시흥시 마유로 128 건물위","옥상",229.08,1033.73,4.51252837436703
"31","경기도 시흥시 공단1대로79번길 37 건물위","옥상",495,2277,4.6
"32","경기도 시흥시 엠티브이25로58번길 16 건물위","옥상",270,1228,4.54814814814815
"33","경기도 시흥시 군자천로81번길 5 건물위","옥상",184.45,865.49,4.69227432908647
"34","경기도 시흥시 공단3대로 281 건물위","옥상",299.88,1392.17,4.64242363612112
"35","경기도 시흥시 엠티브이25로20번길 51 건물위","옥상",198.14,1392.17,7.02619360048451
"36","경기도 시흥시 마유로144번길 40, 건물위","옥상",242,1117,4.61570247933884
"37","경기도 시흥시 군자천로21번길 21, 가,다동 건물위","옥상",308.55,1424,4.61513531032248
"38","경기도 시흥시 마유로118번길 55 건물위(정왕동)","옥상",331.4,1486.15,4.48445986722993
"39","경기도 시흥시 시화호수로 310-30 주1동 건물위","옥상",239,1940,8.11715481171548
"40","경기도 시흥시 마유로 146 건물위","옥상",320.1,1468.96,4.58906591690097
"41","경기도 시흥시옥구천서로81번길 78, A동 건물위","옥상",199.9,921,4.60730365182591
