"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"1","경기도 안산시 단원구 산성로 3","옥상",56.64,259.36,4.57909604519774
"2","경기도 안산시 단원구 산성로 3","옥상",72.57,342.72,4.72261264985531
"3","경기도 안산시 단원구 산성로 3","옥상",67.26,319.56,4.75111507582516
"4","경기도 안산시 단원구 산단로83번길 72","옥상",83.32,421.92,5.06385021603457
"5","경기도 안산시 단원구 산단로83번길 72","옥상",93.96,421.92,4.4904214559387
"6","경기도 안산시 단원구 목내로122번길 51","옥상",99.45,474.82,4.7744595274007
"7","경기도 안산시 단원구 목내로122번길 49","옥상",99.45,474.82,4.7744595274007
"8","경기도 안산시 단원구 신원로91번길 89","옥상",99.91,478.17,4.786007406666
"9","경기도 안산시 단원구 목내로108번길 17","옥상",98.82,474,4.79659987856709
"10","경기도 안산시 단원구 시화호수로 877","옥상",99.12,481.1,4.85371267150928
"11","경기도 안산시 단원구 시화호수로 877","옥상",99.12,481.1,4.85371267150928
"12","경기도 안산시 단원구 시화호수로 877","옥상",99.12,481.1,4.85371267150928
"13","경기도 안산시 단원구 시화호수로 877","옥상",99.12,481.1,4.85371267150928
"14","경기도 안산시 단원구 시화호수로 877","옥상",99.12,481.1,4.85371267150928
"15","경기도 안산시 단원구 번영로15번길 17","옥상",29.68,142.35,4.7961590296496
"16","경기도 안산시 단원구 번영로15번길 17","옥상",29.68,142.35,4.7961590296496
"17","경기도 안산시 단원구 정왕천동로70번길 15","옥상",99.36,995,10.0140901771337
"18","경기도 안산시 단원구 엠티브이21로 20","옥상",94.695,439,4.63593642747769
"19","경기도 안산시 단원구 대부황금로 1501","옥상",12,62.413,5.20108333333333
"20","경기도 안산시 상록구 해안로 1342","옥상",51.52,298.92,5.80201863354037
"21","경기도 안산시 단원구 별망로26번길 43","옥상",60.62,351,5.7901682612999
"22","경기도 안산시 단원구 첨단로267번길 24","옥상",88.2,415,4.70521541950113
"23","경기도 안산시 단원구 첨단로267번길 24","옥상",88.2,420,4.76190476190476
"24","경기도 안산시 단원구 산단로67번길 71","옥상",99.36,626.59,6.30626006441224
"25","경기도 안산시 단원구 신원로 362","옥상",29.76,145.85,4.90087365591398
"26","경기도 안산시 단원구 해봉로 314","옥상",97.5,435.04,4.46194871794872
"27","경기도 안산시 단원구 번영로 109","옥상",23.4,124.02,5.3
"28","경기도 안산시 단원구 첨단로 312","옥상",99.9,526,5.26526526526527
"29","경기도 안산시 단원구 첨단로 312","옥상",99.9,526,5.26526526526527
"30","경기도 안산시 상록구 구룡동길 4-4","옥상",14.82,977,65.9244264507422
"31","경기도 안산시 단원구 대부중앙로 83","옥상",18.87,196.38,10.4069952305246
"32","경기도 안산시 상록구 구룡로 87","옥상",92.82,930,10.0193923723335
"33","경기도 안산시 단원구 엠티브이12로 7","옥상",99.9,720,7.20720720720721
"34","경기도 안산시 단원구 엠티브이12로 7","옥상",99.9,720,7.20720720720721
"35","경기도 안산시 단원구 예술대학로5길 46","옥상",19.24,187,9.71933471933472
"36","경기도 안산시 단원구 만해로 177","옥상",99.6,538.38,5.40542168674699
"37","경기도 안산시 상록구 성호로 190","옥상",80.85,468,5.78849721706865
"38","경기도 안산시 상록구 한양대학로 55","옥상",98.8,410,4.1497975708502
"39","경기도 안산시 상록구 고잔로 162","옥상",99.9,526,5.26526526526527
"40","경기도 안산시 단원구 대부황금로 707","옥상",97.11,538.38,5.54402224281742
"41","경기도 안산시 단원구 동림로 45","옥상",29.05,157,5.40447504302926
"42","경기도 안산시 상록구 노리울길 18","옥상",39.285,446,11.3529336897035
"43","경기도 안산시 단원구 중앙대로 489","옥상",19.44,111,5.70987654320988
"44","경기도 안산시 단원구 뻐꾹산길 22-44","옥상",71.2,367.838,5.16626404494382
"45","경기도 안산시 단원구 해안로 80","옥상",99.56,540,5.42386500602652
"46","경기도 안산시 단원구 엠티브이4로16번길 19","옥상",75.6,1484,19.6296296296296
"47","경기도 안산시 단원구 신천로2길 26","옥상",29.7,170,5.72390572390572
"48","경기도 안산시 단원구 원시로 74","옥상",98.55,498.14,5.0546930492136
"49","경기도 안산시 단원구 원시로 74","옥상",65.7,328.66,5.00243531202435
"50","경기도 안산시 상록구 장화1길 55","옥상",19.44,108,5.55555555555556
"51","경기도 안산시 단원구 범지기로141번길 47","옥상",70.2,590,8.4045584045584
"52","경기도 안산시 단원구 선부로 96","옥상",70.35,942.23,13.3934612651031
"53","경기도 안산시 상록구 양지마을길 9","옥상",45.43,193.68,4.26326216156725
"54","경기도 안산시 단원구 서낭당길 70-11","옥상",44.4,240,5.40540540540541
"55","경기도 시흥시 마유로186번길 112(정왕동)","옥상",99.75,557,5.58395989974937
"56","경기도 시흥시 공단1대로379번길 11","옥상",80.3,441,5.49190535491905
"57","경기도 시흥시 수인로 2314-13(목감동)","옥상",98.8,525,5.31376518218624
"58","경기도 시흥시 군자천로213(정왕동)","옥상",96.9,483,4.98452012383901
"59","경기도 시흥시 금오로152번길 21(무지내동)","옥상",19.8,113,5.70707070707071
"60","경기도 시흥시 공단2대로 133(정왕동)","옥상",99.4,548,5.51307847082495
"61","경기도 시흥시 옥구공원로 225(정왕동)","옥상",70.72,352,4.97737556561086
"62","경기도 시흥시 수인로3465번길 16(신천동)","옥상",99.96,566.2,5.66426570628251
"63","경기도 시흥시 동서로 421 (장현동)","옥상",14.28,78.7,5.51120448179272
"64","경기도 시흥시 큰솔로12번길 19-7 (정왕동)","옥상",63.36,467.42,7.3772095959596
"65","경기도 시흥시 군자로 18-2 (월곶동)","옥상",49.68,290,5.83735909822866
"66","경기도 시흥시 경기과기대로 283 (정왕동)","옥상",42.84,550,12.8384687208217
"67","경기도 시흥시 공단1대로196번길 84 (정왕동)","옥상",98.55,1071,10.8675799086758
"68","경기도 시흥시 찬우물1길 34 (은행동)","옥상",65.7,353,5.37290715372907
"69","경기도 시흥시 엠티브이25로58번길 39 (정왕동)","옥상",94.5,3255,34.4444444444444
"70","경기도 시흥시 시화호수전원2길 90-3 (정왕동)","옥상",20,186,9.3
"71","경기도 시흥시 시화호수전원2길 89-10 (정왕동)","옥상",20,176,8.8
"72","경기도 시흥시 협력로 144 (정왕동)","옥상",71,404,5.69014084507042
"73","경기도 시흥시 시화호수전원2길 82-20 (정왕동)","옥상",20,186,9.3
"74","경기도 시흥시 시화호수전원2길 82-18 (정왕동)","옥상",20,186,9.3
