,대분류,중분류,,,,대분류,중분류,
1,건물,경사,,,,건물,경사,
2,건물,평면,,,,건물,평면,24.14
3,건물,복합,,,,건물,복합,16.47
4,주차장,노외,,,,주차장,노외,
5,기타시설물,나지,,,,기타시설물,나지,
6,기타시설물,야외공연장,,,,기타시설물,야외공연장,
7,주자창,노외,,,,주자창,노외,
8,유휴부지,나지,,,,유휴부지,나지,
9,기타시설물,구령대,,,,기타시설물,구령대,
10,기타시설물,운동장,,,,기타시설물,운동장,
11,기타시설물,광장,,,,기타시설물,광장,
12,기타시설물,야외무대,,,,기타시설물,야외무대,
13,기타시설물,야외음악장,,,,기타시설물,야외음악장,
14,기타시설물,방목기념관,,,,기타시설물,방목기념관,
15,기타시설물,온실,,,,기타시설물,온실,
16,기타시설물,실내테니스장,,,,기타시설물,실내테니스장,
17,기타시설물,경사,,,,기타시설물,경사,
18,나지,나지,,,,나지,나지,
19,기타시설물,운동장벤치,,,,기타시설물,운동장벤치,
20,기타시설물,관중석,,,,기타시설물,관중석,
21,건물,노외,,,,건물,노외,
22,저수지,저수지,,,,저수지,저수지,
23,유휴나지,나지,,,,유휴나지,나지,
24,주차장,평면,,,,주차장,평면,
25,기타시설지,관중석,,,,기타시설지,관중석,
26,주차장,경사,,,,주차장,경사,
27,관중석,노외,,,,관중석,노외,
28,건물,평면,,,,,,
