"","대분류","중분류","세분류","면적","비고","Univ_SGG1","Univ_SGG2","Univ_Name","AreaFactor","DensityFactor","CapacityFactor","Units","용량(kW)","연간발전량(kWh)"
"1","건물","경사",NA,588.403815306999,NA,"고양시","일산동구","동국대학교",33,6.6,0.1358,"ratio",29.42019076535,34998.4942959864
"2","건물","평면",NA,1236.96900993999,NA,"고양시","일산동구","동국대학교",24.14,6.6,0.1358,"ratio",45.2430786362899,53821.5282903596
"3","건물","평면",NA,1290.77334917999,NA,"고양시","일산동구","동국대학교",24.14,6.6,0.1358,"ratio",47.211013104856,56162.5988776415
"4","건물","평면",NA,1865.73148265999,NA,"고양시","일산동구","동국대학교",24.14,6.6,0.1358,"ratio",68.2405424112305,81179.4951767391
"5","건물","복합",NA,938.718675641,NA,"고양시","일산동구","동국대학교",16.47,6.6,0.1358,"ratio",23.425297860314,27866.9217370125
"6","건물","평면",NA,812.266252784,NA,"고양시","일산동구","동국대학교",24.14,6.6,0.1358,"ratio",29.7092535487966,35342.3656956768
"7","건물","평면",NA,1265.74816613999,NA,"광주시","경안로","서울장신대학교",24.14,6.6,0.1188,"ratio",46.295698076696,48179.3774400406
"8","건물","평면",NA,630.842886210999,NA,"광주시","경안로","서울장신대학교",24.14,6.6,0.1188,"ratio",23.0735564744447,24012.3733402769
"9","건물","평면",NA,1102.05355604,NA,"광주시","경안로","서울장신대학교",24.14,6.6,0.1188,"ratio",40.3084437012206,41948.5136585359
"10","건물","평면",NA,342.582333888999,NA,"광주시","경안로","서울장신대학교",24.14,6.6,0.1188,"ratio",12.5302083940613,13040.0375131988
"11","건물","평면",NA,398.023470315999,NA,"광주시","경안로","서울장신대학교",24.14,6.6,0.1188,"ratio",14.5580099597397,15150.3462689816
"12","주차장","노외",NA,317.090069348999,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",15.85450346745,16499.5915045336
"13","주차장","노외",NA,134.509442016999,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",6.72547210084995,6999.11810968933
"14","주차장","노외",NA,309.856833291999,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",15.4928416646,16123.2144062492
"15","주차장","노외",NA,175.478280154,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",8.7739140077,9130.9070208453
"16","주차장","노외",NA,32.6166300403,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",1.630831502015,1697.18677416899
"17","주차장","노외",NA,112.600131310999,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",5.63000656554995,5859.08027268905
"18","주차장","노외",NA,49.0636161169,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",2.453180805845,2552.99582647322
"19","주차장","노외",NA,214.161071883999,NA,"광주시","경안로","서울장신대학교",50,10,0.1188,"ratio",10.7080535942,11143.7428788408
